t,0,1,2
03/21/21 13:55:31,59.15,73.68,10.83
03/21/21 13:55:33,59.44,73.68,10.56
03/21/21 13:55:35,59.72,73.68,10.83
03/21/21 13:55:37,59.44,73.42,10.56
03/21/21 13:55:39,59.44,73.42,10.83
03/21/21 13:55:41,59.44,73.42,10.56
03/21/21 13:55:43,59.44,73.42,10.83
03/21/21 13:55:45,59.44,73.42,10.56
03/21/21 13:55:47,59.44,73.42,10.83
03/21/21 13:55:49,59.44,73.42,10.56
03/21/21 13:55:51,59.44,73.68,10.83
03/21/21 13:55:53,59.72,73.68,10.83
03/21/21 13:55:55,59.44,73.68,10.56
03/21/21 13:55:57,59.44,73.42,10.56
03/21/21 13:55:59,59.15,73.42,10.83
03/21/21 13:56:01,59.15,73.16,10.56
03/21/21 13:56:03,59.44,73.42,10.83
03/21/21 13:56:05,59.72,73.42,10.83
03/21/21 13:56:07,59.44,73.42,10.56
03/21/21 13:56:09,59.72,73.42,10.56
03/21/21 13:56:11,59.44,73.42,10.83
03/21/21 13:56:13,59.44,73.68,10.83
03/21/21 13:56:15,59.44,73.68,10.83
03/21/21 13:56:18,59.15,73.68,10.83
03/21/21 13:56:18,59.44,73.42,10.83
03/21/21 13:56:18,59.15,73.42,10.83
03/21/21 13:56:18,59.72,73.42,10.56
03/21/21 13:56:18,59.15,73.42,10.56
03/21/21 13:56:18,59.15,73.42,10.83
03/21/21 13:56:18,58.87,73.42,10.56
03/21/21 13:56:19,59.44,73.42,10.83
03/21/21 13:56:19,59.44,73.42,10.83
03/21/21 13:56:19,59.72,73.42,10.83
03/21/21 13:56:19,59.44,73.42,11.11
03/21/21 13:56:19,59.15,73.42,10.56
03/21/21 13:56:19,59.44,73.68,10.83
03/21/21 13:56:19,59.44,73.42,10.83
03/21/21 13:56:20,59.44,73.42,10.83
03/21/21 13:56:20,59.44,73.16,10.83
03/21/21 13:56:20,59.72,73.42,10.83
03/21/21 13:56:20,59.15,73.68,11.11
03/21/21 13:56:20,59.44,73.42,10.56
03/21/21 13:56:20,59.15,73.16,10.56
03/21/21 13:56:20,58.87,73.42,10.56
03/21/21 13:56:21,59.44,73.42,10.83
03/21/21 13:56:21,59.44,73.42,11.11
03/21/21 13:56:21,59.15,73.42,10.83
03/21/21 13:56:21,59.44,73.42,11.11
03/21/21 13:56:21,59.44,73.42,11.11
03/21/21 13:56:21,59.44,73.42,10.83
03/21/21 13:56:21,59.44,73.68,10.83
03/21/21 13:56:21,59.44,73.42,10.83
03/21/21 13:56:22,59.72,73.68,10.83
03/21/21 13:56:22,59.72,73.42,10.56
03/21/21 13:56:22,59.15,73.42,11.11
03/21/21 13:56:22,59.44,73.42,10.83
03/21/21 13:56:22,59.44,73.42,10.83
03/21/21 13:56:22,59.44,73.42,10.83
03/21/21 13:56:22,59.44,73.42,11.11
03/21/21 13:56:23,59.44,73.42,10.83
03/21/21 13:56:23,59.15,73.42,10.56
03/21/21 13:56:23,59.44,73.16,10.83
03/21/21 13:56:23,59.44,73.42,10.83
03/21/21 13:56:23,59.15,73.42,11.11
03/21/21 13:56:23,59.72,73.68,10.83
03/21/21 13:56:23,59.72,73.42,11.11
03/21/21 13:56:24,59.72,73.42,10.28
03/21/21 13:56:24,59.44,73.42,10.83
03/21/21 13:56:24,59.44,73.42,10.83
03/21/21 13:56:24,59.15,73.42,10.56
03/21/21 13:56:24,59.44,73.42,10.83
03/21/21 13:56:24,59.15,73.42,10.83
03/21/21 13:56:24,59.44,73.68,11.11
03/21/21 13:56:25,59.44,73.68,10.83
03/21/21 13:56:25,58.87,73.42,10.56
03/21/21 13:56:25,59.15,73.42,10.56
03/21/21 13:56:25,59.15,73.42,10.83
03/21/21 13:56:25,59.44,73.42,10.83
03/21/21 13:56:25,59.44,73.42,10.83
03/21/21 13:56:25,59.72,73.42,11.11
03/21/21 13:56:26,59.44,73.68,10.83
03/21/21 13:56:26,59.44,73.68,10.83
03/21/21 13:56:26,59.15,73.42,10.83
03/21/21 13:56:26,59.44,73.42,10.83
03/21/21 13:56:26,59.15,73.42,10.83
03/21/21 13:56:26,59.44,73.42,10.56
03/21/21 13:56:26,59.15,73.42,10.28
03/21/21 13:56:27,59.15,73.68,10.83
03/21/21 13:56:27,59.44,73.68,10.83
03/21/21 13:56:27,59.44,73.68,10.56
03/21/21 13:56:27,59.72,73.68,10.83
03/21/21 13:56:27,59.44,73.42,10.83
03/21/21 13:56:27,59.44,73.42,10.83
03/21/21 13:56:27,59.44,73.42,10.83
03/21/21 13:56:28,59.15,73.42,10.83
03/21/21 13:56:28,59.72,73.68,10.83
03/21/21 13:56:28,59.44,73.68,11.11
03/21/21 13:56:28,59.15,73.42,10.83
03/21/21 13:56:28,59.44,73.42,10.56
03/21/21 13:56:28,59.44,73.68,10.83
03/21/21 13:56:28,59.44,73.42,10.56
03/21/21 13:56:29,59.72,73.42,10.83
03/21/21 13:56:29,59.44,73.42,10.28
03/21/21 13:56:29,59.44,73.42,10.83
03/21/21 13:56:29,59.44,73.42,10.83
03/21/21 13:56:29,59.15,73.42,10.83
03/21/21 13:56:29,59.15,73.42,10.83
03/21/21 13:56:29,59.44,73.42,10.83
03/21/21 13:56:30,59.44,73.42,10.83
03/21/21 13:56:30,59.44,73.42,10.56
03/21/21 13:56:30,59.44,73.42,10.83
03/21/21 13:56:30,59.72,73.68,10.83
03/21/21 13:56:30,59.44,73.68,11.11
03/21/21 13:56:30,59.44,73.42,10.56
03/21/21 13:56:30,59.15,73.42,10.83
03/21/21 13:56:31,59.44,73.68,10.83
03/21/21 13:56:31,59.15,73.68,11.11
03/21/21 13:56:31,59.44,73.42,10.56
03/21/21 13:56:31,59.72,73.42,10.83
03/21/21 13:56:31,59.15,73.68,10.83
03/21/21 13:56:31,59.15,73.42,10.83
03/21/21 13:56:31,59.44,73.68,10.56
03/21/21 13:56:32,59.15,73.42,10.83
03/21/21 13:56:32,59.44,73.42,10.56
03/21/21 13:56:37,59.44,73.68,10.83
03/21/21 13:56:42,59.44,73.16,10.83
